Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,et,0.1321,36,25,0.0773109243697479,26197,948,27.633966244725737,0.3337469262526225,0.0925206033276318,6.797864150897084,1.0,0.7323,0.7119,0.5859,0.6792,0.3089
pcm,ko,0.0777,50,11,0.0369747899159663,27363,948,28.86392405063291,0.2977608806802764,0.0925206033276318,4.920942307475862,0.6545,0.7341,0.7009,0.6082,0.6566,0.0337
pcm,ja,0.1515,33,28,0.0,57256,948,60.39662447257384,0.0003197953309881,0.0925206033276318,0.9930989933719808,1.0,0.7624,0.7326,0.6082,0.7332,0.1272
pcm,ru,0.0314,56,5,0.0277310924369747,61889,948,65.28375527426161,0.2241205920170711,0.0925206033276318,2.023181250546175,0.2677,0.7546,0.72,0.6082,0.6839,0.0126
pcm,cs,0.1928,27,34,0.1310924369747899,87913,948,92.73523206751057,0.1727176492441835,0.0925206033276318,0.7513457430104816,1.0,0.8274,0.8074,0.6791,0.7663,0.0481
am,bxr,0.134,25,36,0.0004017677782241,927,1074,0.8631284916201117,0.6023336111441838,0.4744567289363325,0.0726425126186455,1.0,0.7605,0.7242,0.5641,0.6566,0.0757
am,kmr,0.1353,24,37,0.0008035355564483,754,1074,0.702048417132216,0.3877346961448728,0.4744567289363325,0.033409169348278,0.7048,0.7664,0.7284,0.5426,0.6522,0.0291
am,hsb,0.1657,14,47,0.0008035355564483,646,1074,0.6014897579143389,0.5423194196193881,0.4744567289363325,0.0204582710957715,1.0,0.7829,0.7337,0.5,0.5931,0.314
am,kk,0.1499,17,44,0.0008035355564483,1078,1074,1.0037243947858474,0.6191198786039454,0.4744567289363325,0.0929656718670934,0.9176,0.7451,0.696,0.4788,0.6096,0.0511
am,hy,0.2132,4,57,0.0004017677782241,564,1074,0.5251396648044693,0.5479001354751306,0.4744567289363325,0.0239614118852308,0.9766,0.7644,0.7402,0.5859,0.7127,0.0523
am,swl,0.0691,49,12,0.0004017677782241,203,1074,0.1890130353817504,0.4872907625542468,0.4744567289363325,0.0007317001168975,0.631,0.7341,0.7139,0.6082,0.6792,0.0333
am,lt,0.1301,27,34,0.0004017677782241,263,1074,0.2448789571694599,0.5654157163591126,0.4744567289363325,0.0367534416519119,0.6614,0.8124,0.8019,0.7048,0.7722,0.026
am,be,0.0857,45,16,0.0004017677782241,393,1074,0.3659217877094972,0.5525618374558304,0.4744567289363325,0.0270997734076901,0.8831,0.7377,0.7058,0.5426,0.6221,0.0516
