Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
stan1290,bulg1262,0.9248,0.5342,0.5223,0.4196,0.4788,0.076
stan1290,slov1268,0.9176,0.5078,0.508,0.4196,0.4688,0.0406
stan1290,slov1269,0.9176,0.7451,0.696,0.4788,0.6096,0.0511
stan1290,roma1327,0.5804,0.4667,0.4624,0.3333,0.4336,0.069
stan1290,croa1245,0.9304,0.5815,0.5612,0.4601,0.483,0.0483
stan1290,stan1318,1.0,0.5952,0.552,0.4196,0.5,0.169
stan1290,latv1249,0.8934,0.5311,0.4866,0.4565,0.4523,0.0735
stan1290,hebr1245,1.0,0.4781,0.5153,0.3776,0.6082,0.1358
stan1290,ukra1253,0.9176,0.4915,0.4709,0.3776,0.4596,0.068
stan1290,indo1316,1.0,0.5833,0.5723,0.4161,0.4688,0.4158
stan1290,dani1285,0.9248,0.4484,0.4465,0.4161,0.3789,0.0377
stan1290,swed1254,0.9248,0.44,0.4598,0.3743,0.4845,0.0676
stan1290,mand1415,1.0,0.6717,0.638,0.33,0.5726,0.3122
stan1295,czec1258,0.8934,0.501,0.5098,0.359,0.4728,0.0097
stan1295,russ1263,0.8691,0.4943,0.5185,0.359,0.5184,0.1639
stan1295,norw1258,0.631,0.3288,0.3969,0.3931,0.5021,0.0524
stan1295,stan1288,0.9248,0.4029,0.5013,0.4835,0.6393,0.0579
stan1295,kore1280,1.0,0.5935,0.5755,0.554,0.5227,0.3199
stan1295,esto1258,0.9744,0.4896,0.4837,0.3064,0.5026,0.0591
stan1295,poli1260,0.8831,0.5485,0.5695,0.3548,0.5805,0.0232
stan1295,dutc1256,0.5236,0.3979,0.3678,0.2914,0.3086,0.0268
stan1295,port1283,0.9214,0.453,0.4673,0.3931,0.4343,0.0613
stan1295,lati1261,0.8831,0.5634,0.5531,0.439,0.5248,0.0309
stan1295,stan1290,0.9248,0.4718,0.4405,0.2301,0.3886,0.032
stan1295,hind1269,0.9014,0.5483,0.53,0.33,0.5037,0.2386
